"","pollster","date_start","date_median","date_end","mode","sample_size","sample_space","percent_biden","percent_trump","state_abb","state_full"
"474","Qriously",2020-09-03,2020-09-05,2020-09-07,"Internet",2013,"LV",47,41,"--","--"
"475","Rasmussen Reports/Pulse Opinion Research",2020-09-02,2020-09-05,2020-09-08,"IVR/Internet",2500,"LV",48,46,"--","--"
"476","Research Co.",2020-09-04,2020-09-05,2020-09-06,"Internet",1114,"LV",49,41,"--","--"
"477","Ipsos",2020-09-03,2020-09-05,2020-09-08,"Internet",823,"LV",52,40,"--","--"
"478","Monmouth University",2020-09-03,2020-09-05,2020-09-08,"Live Phone",758,"LV",51,44,"--","--"
"479","Cygnal",2020-09-05,2020-09-06,2020-09-07,"IVR",2000,"LV",47,40,"--","--"
"480","HarrisX",2020-09-05,2020-09-06,2020-09-08,"Internet",2832,"RV",47,39,"--","--"
"481","Opinium",2020-09-04,2020-09-07,2020-09-10,"Internet",1234,"LV",51,42,"--","--"
"482","YouGov",2020-09-06,2020-09-07,2020-09-08,"Internet",1057,"LV",52,43,"--","--"
"483","Redfield & Wilton Strategies",2020-09-07,2020-09-07,2020-09-08,"Internet",1611,"LV",49,40,"--","--"
"484","USC Dornsife",2020-09-01,2020-09-07,2020-09-14,"Internet",5381,"LV",52,42,"--","--"
"485","Climate Nexus",2020-09-08,2020-09-08,2020-09-09,"Internet",1244,"LV",52,41,"--","--"
"486","Fox News",2020-09-07,2020-09-08,2020-09-10,"Live Phone",1191,"LV",51,46,"--","--"
"487","USC Dornsife",2020-09-07,2020-09-10,2020-09-13,"Internet",2806,"LV",52,42,"--","--"
"488","YouGov",2020-09-09,2020-09-10,2020-09-11,"Internet",1216,"RV",49,39,"--","--"
"489","RMG Research",2020-09-10,2020-09-11,2020-09-12,"Internet",941,"LV",48,43,"--","--"
"490","SurveyMonkey",2020-09-01,2020-09-11,2020-09-21,"Internet",94495,"RV",53,44,"--","--"
"491","Marquette Law School",2020-09-08,2020-09-11,2020-09-15,"Live Phone",1357,"LV",50,40,"--","--"
"492","Qriously",2020-09-10,2020-09-11,2020-09-13,"Internet",2065,"LV",46,42,"--","--"
"493","Global Strategy Group/GBAO (Navigator Research)",2020-09-10,2020-09-12,2020-09-14,"Internet",1007,"RV",53,42,"--","--"
"494","HarrisX",2020-09-10,2020-09-12,2020-09-14,"Internet",3758,"RV",45,39,"--","--"
"495","Léger",2020-09-11,2020-09-12,2020-09-13,"Internet",833,"LV",47,41,"--","--"
"496","Rasmussen Reports/Pulse Opinion Research",2020-09-09,2020-09-12,2020-09-15,"IVR/Internet",2500,"LV",46,47,"--","--"
"497","Ipsos",2020-09-11,2020-09-13,2020-09-15,"Internet",859,"LV",50,41,"--","--"
"498","Marist College",2020-09-11,2020-09-13,2020-09-16,"Live Phone",723,"LV",52,43,"--","--"
"499","GBAO",2020-09-12,2020-09-14,2020-09-16,"Live Phone",1150,"RV",51,39,"--","--"
"500","YouGov",2020-09-13,2020-09-14,2020-09-15,"Internet",1062,"LV",51,42,"--","--"
"501","NBC News/The Wall Street Journal",2020-09-13,2020-09-14,2020-09-16,"Live Phone",1000,"RV",51,43,"--","--"
"502","Data for Progress",2020-09-15,2020-09-15,2020-09-15,"Internet",809,"RV",53,42,"--","--"
"503","Morning Consult",2020-09-14,2020-09-15,2020-09-16,"Internet",12000,"LV",51,43,"--","--"
"504","Public Religion Research Institute",2020-09-09,2020-09-15,2020-09-22,"Internet/Live Phone",1387,"LV",55,44,"--","--"
"505","SurveyMonkey",2020-09-01,2020-09-15,2020-09-30,"Internet",152640,"LV",52,46,"--","--"
"506","Ipsos",2020-09-15,2020-09-16,2020-09-17,"Internet",834,"LV",51,42,"--","--"
"507","Redfield & Wilton Strategies",2020-09-16,2020-09-16,2020-09-17,"Internet",2070,"LV",49,41,"--","--"
"508","IBD/TIPP",2020-09-16,2020-09-17,2020-09-19,"Internet",962,"LV",50,44,"--","--"
"509","Hofstra University",2020-09-14,2020-09-18,2020-09-22,"Internet",2000,"LV",53,42,"--","--"
"510","RMG Research",2020-09-17,2020-09-18,2020-09-19,"IVR/Internet",773,"LV",50,44,"--","--"
"511","J.L. Partners",2020-09-14,2020-09-18,2020-09-23,"Internet",4053,"LV",51,41,"--","--"
"512","Qriously",2020-09-17,2020-09-18,2020-09-20,"Internet",2134,"LV",46,39,"--","--"
"513","Change Research",2020-09-18,2020-09-19,2020-09-20,"Internet",1430,"LV",51,42,"--","--"
"514","Global Strategy Group/GBAO (Navigator Research)",2020-09-17,2020-09-19,2020-09-21,"Internet",1230,"RV",53,42,"--","--"
"515","Léger",2020-09-18,2020-09-19,2020-09-20,"Internet",830,"LV",48,41,"--","--"
"516","Quinnipiac University",2020-09-17,2020-09-19,2020-09-21,"Live Phone",1302,"LV",52,42,"--","--"
"517","Rasmussen Reports/Pulse Opinion Research",2020-09-16,2020-09-19,2020-09-22,"IVR/Internet",3000,"LV",48,47,"--","--"
"518","HarrisX",2020-09-19,2020-09-20,2020-09-21,"Internet",2803,"RV",45,40,"--","--"
"519","Ipsos",2020-09-18,2020-09-20,2020-09-22,"Internet",889,"LV",50,42,"--","--"
"520","USC Dornsife",2020-09-14,2020-09-20,2020-09-27,"Internet",5254,"LV",52,42,"--","--"
"521","YouGov",2020-09-20,2020-09-21,2020-09-22,"Internet",1124,"LV",49,42,"--","--"
"522","Echelon Insights",2020-09-19,2020-09-22,2020-09-25,"Internet",1018,"LV",51,43,"--","--"
"523","Morning Consult",2020-09-21,2020-09-22,2020-09-23,"Internet",12000,"LV",51,44,"--","--"
"524","YouGov",2020-09-21,2020-09-22,2020-09-23,"Internet",1125,"LV",49,44,"--","--"
"525","ABC News/The Washington Post",2020-09-21,2020-09-22,2020-09-24,"Live Phone",739,"LV",54,44,"--","--"
"526","Emerson College",2020-09-22,2020-09-22,2020-09-23,"IVR/Internet",1000,"LV",50,47,"--","--"
"527","Redfield & Wilton Strategies",2020-09-22,2020-09-22,2020-09-23,"Internet",2500,"LV",50,41,"--","--"
"528","Harris Poll",2020-09-22,2020-09-23,2020-09-24,"Internet",1237,"LV",47,45,"--","--"
"529","Ipsos",2020-09-22,2020-09-23,2020-09-24,"Internet",934,"LV",50,41,"--","--"
"530","Siena College/The New York Times Upshot",2020-09-22,2020-09-23,2020-09-24,"Live Phone",950,"LV",49,41,"--","--"
"531","HarrisX",2020-09-22,2020-09-23,2020-09-25,"Internet",2768,"RV",45,40,"--","--"
"532","Monmouth University",2020-09-24,2020-09-25,2020-09-27,"Live Phone",809,"LV",50,45,"--","--"
"533","Qriously",2020-09-24,2020-09-25,2020-09-27,"Internet",2273,"LV",50,40,"--","--"
"534","Léger",2020-09-25,2020-09-26,2020-09-27,"Internet",854,"LV",47,40,"--","--"
"535","Rasmussen Reports/Pulse Opinion Research",2020-09-23,2020-09-26,2020-09-29,"IVR/Internet",3000,"LV",51,43,"--","--"
"536","Zogby Analytics",2020-09-25,2020-09-26,2020-09-27,"Internet",833,"LV",46,43,"--","--"
"537","Redfield & Wilton Strategies",2020-09-26,2020-09-26,2020-09-27,"Internet",3000,"RV",50,40,"--","--"
"538","Global Strategy Group/GBAO (Navigator Research)",2020-09-26,2020-09-27,2020-09-28,"Internet",1002,"RV",53,43,"--","--"
"539","Ipsos",2020-09-25,2020-09-27,2020-09-29,"Internet",864,"LV",51,42,"--","--"
"540","Morning Consult",2020-09-26,2020-09-27,2020-09-28,"Internet",12000,"LV",51,43,"--","--"
"541","Winston Group",2020-09-26,2020-09-28,2020-09-30,"IVR",1000,"RV",47,43,"--","--"
"542","YouGov",2020-09-27,2020-09-28,2020-09-30,"Internet",1350,"LV",50,42,"--","--"
"543","Morning Consult",2020-09-28,2020-09-29,2020-09-30,"Internet",12000,"LV",51,43,"--","--"
"544","Saint Leo University",2020-09-27,2020-09-29,2020-10-02,"Internet",947,"LV",52,38,"--","--"
"545","Change Research",2020-09-29,2020-09-29,2020-09-30,"Internet",925,"LV",54,41,"--","--"
"546","Ipsos",2020-09-29,2020-09-30,2020-10-01,"Internet",882,"LV",50,41,"--","--"
"547","Data for Progress",2020-09-30,2020-09-30,2020-10-01,"Internet",1146,"LV",51,41,"--","--"
"548","HarrisX",2020-09-30,2020-09-30,2020-10-01,"Internet",928,"RV",47,40,"--","--"
"549","IBD/TIPP",2020-09-30,2020-09-30,2020-10-01,"Internet",1021,"LV",49,46,"--","--"
"550","NBC News/The Wall Street Journal",2020-09-30,2020-09-30,2020-10-01,"Live Phone",800,"RV",53,39,"--","--"
"551","USC Dornsife",2020-09-29,2020-10-01,2020-10-04,"Internet",4836,"LV",53,42,"--","--"
"552","Edison Research",2020-09-25,2020-10-01,2020-10-08,"Internet",1378,"RV",48,35,"--","--"
"553","CNN/SSRS",2020-10-01,2020-10-02,2020-10-04,"Live Phone",1001,"LV",57,41,"--","--"
"554","Global Marketing Research Services",2020-09-30,2020-10-02,2020-10-04,"Internet/Live Phone",971,"LV",52,36,"--","--"
"555","John Zogby Strategies/EMI Research Solutions",2020-10-02,2020-10-02,2020-10-02,"Internet",1006,"LV",49,47,"--","--"
"556","Morning Consult",2020-10-01,2020-10-02,2020-10-03,"Internet",12000,"LV",52,43,"--","--"
"557","Qriously",2020-10-01,2020-10-02,2020-10-04,"Internet",2048,"LV",51,38,"--","--"
"558","RMG Research",2020-10-01,2020-10-02,2020-10-03,"IVR/Internet",763,"LV",51,42,"--","--"
"559","SurveyUSA",2020-10-01,2020-10-02,2020-10-04,"Internet",1114,"LV",53,43,"--","--"
"560","Innovative Research Group",2020-09-29,2020-10-02,2020-10-06,"Internet",2435,"RV",47,42,"--","--"
"561","Ipsos",2020-10-02,2020-10-02,2020-10-03,"Internet",596,"LV",51,41,"--","--"
"562","Pew Research Center",2020-09-30,2020-10-02,2020-10-05,"Internet",10543,"RV",52,42,"--","--"
"563","YouGov",2020-10-02,2020-10-02,2020-10-03,"Internet",1088,"LV",51,43,"--","--"
"564","Change Research",2020-10-02,2020-10-03,2020-10-04,"Internet",2167,"LV",52,42,"--","--"
"565","Léger",2020-10-02,2020-10-03,2020-10-04,"Internet",843,"LV",49,40,"--","--"
"566","Rasmussen Reports/Pulse Opinion Research",2020-09-30,2020-10-03,2020-10-06,"IVR/Internet",2500,"LV",52,40,"--","--"
"567","Redfield & Wilton Strategies",2020-10-03,2020-10-03,2020-10-04,"Internet",2127,"LV",50,42,"--","--"
"568","Global Strategy Group/GBAO (Navigator Research)",2020-10-02,2020-10-03,2020-10-05,"Internet",1011,"RV",52,44,"--","--"
"569","Fox News",2020-10-03,2020-10-04,2020-10-06,"Live Phone",1012,"LV",53,43,"--","--"
"570","Ipsos",2020-10-02,2020-10-04,2020-10-06,"Internet",882,"LV",52,40,"--","--"
"571","HarrisX",2020-10-03,2020-10-04,2020-10-06,"Internet",2841,"RV",45,40,"--","--"
"572","USC Dornsife",2020-09-28,2020-10-04,2020-10-11,"Internet",5073,"LV",54,41,"--","--"
"573","YouGov",2020-10-04,2020-10-05,2020-10-06,"Internet",1364,"LV",51,42,"--","--"
"574","Data for Progress",2020-10-06,2020-10-06,2020-10-06,"Internet",863,"LV",56,41,"--","--"
"575","Public Opinion Strategies",2020-10-05,2020-10-06,2020-10-08,"Live Phone",1000,"LV",55,41,"--","--"
"576","Ipsos",2020-10-06,2020-10-07,2020-10-08,"Internet",882,"LV",53,41,"--","--"
"577","ABC News/The Washington Post",2020-10-06,2020-10-07,2020-10-09,"Live Phone",752,"LV",55,43,"--","--"
"578","USC Dornsife",2020-10-01,2020-10-07,2020-10-14,"Internet",5433,"LV",54,42,"--","--"
"579","Morning Consult",2020-10-07,2020-10-08,2020-10-09,"Internet",12000,"LV",51,43,"--","--"
"580","University of Massachusetts Lowell",2020-10-05,2020-10-08,2020-10-12,"Internet",819,"LV",53,43,"--","--"
"581","IBD/TIPP",2020-10-07,2020-10-09,2020-10-11,"Internet",851,"LV",53,42,"--","--"
"582","Public First",2020-10-06,2020-10-09,2020-10-12,"Internet",2004,"A",47,34,"--","--"
"583","RMG Research",2020-10-08,2020-10-09,2020-10-10,"IVR/Internet",1240,"LV",51,43,"--","--"
"584","Kaiser Family Foundation",2020-10-07,2020-10-09,2020-10-12,"Live Phone",1015,"LV",49,38,"--","--"
"585","AP-NORC",2020-10-08,2020-10-10,2020-10-12,"Internet",1121,"A",51,36,"--","--"
"586","Global Strategy Group/GBAO (Navigator Research)",2020-10-08,2020-10-10,2020-10-12,"Internet",1003,"RV",53,43,"--","--"
"587","IBD/TIPP",2020-10-08,2020-10-10,2020-10-12,"Internet",937,"LV",51,42,"--","--"
"588","Léger",2020-10-09,2020-10-10,2020-10-11,"Internet",841,"LV",50,39,"--","--"
"589","Opinium",2020-10-08,2020-10-10,2020-10-12,"Internet",1397,"LV",57,40,"--","--"
"590","Qriously",2020-10-08,2020-10-10,2020-10-12,"Internet",2053,"LV",51,37,"--","--"
"591","Rasmussen Reports/Pulse Opinion Research",2020-10-07,2020-10-10,2020-10-13,"IVR/Internet",2500,"LV",50,45,"--","--"
"592","Redfield & Wilton Strategies",2020-10-10,2020-10-10,2020-10-10,"Internet",2000,"LV",49,41,"--","--"
"593","YouGov",2020-10-09,2020-10-10,2020-10-11,"Internet",1525,"RV",51,43,"--","--"
"594","Marist College",2020-10-08,2020-10-10,2020-10-13,"Live Phone",896,"LV",54,43,"--","--"
"595","NBC News/The Wall Street Journal",2020-10-09,2020-10-10,2020-10-12,"Live Phone",1000,"RV",53,42,"--","--"
"596","Public Religion Research Institute",2020-10-09,2020-10-10,2020-10-12,"Internet/Live Phone",591,"LV",54,40,"--","--"
"597","Public Religion Research Institute",2020-10-09,2020-10-10,2020-10-12,"Internet/Live Phone",978,"RV",55,36,"--","--"
"598","Whitman Insight Strategies",2020-10-08,2020-10-10,2020-10-13,"Internet",1103,"LV",54,42,"--","--"
"599","IBD/TIPP",2020-10-09,2020-10-11,2020-10-13,"Internet",866,"LV",50,43,"--","--"
"600","Ipsos",2020-10-09,2020-10-11,2020-10-13,"Internet",882,"LV",51,41,"--","--"
"601","HarrisX",2020-10-10,2020-10-11,2020-10-13,"Internet",2855,"RV",47,40,"--","--"
"602","YouGov",2020-10-11,2020-10-12,2020-10-13,"Internet",1333,"LV",52,42,"--","--"
"603","CCES/YouGov",2020-09-29,2020-10-13,2020-10-27,"Internet",71789,"A",51,41,"--","--"
"604","CCES/YouGov",2020-09-29,2020-10-13,2020-10-27,"Internet",50908,"LV",51,43,"--","--"
"605","J.L. Partners",2020-10-13,2020-10-13,2020-10-13,"Internet",844,"LV",52,42,"--","--"
"606","HarrisX",2020-10-13,2020-10-14,2020-10-15,"Internet",1897,"RV",46,42,"--","--"
"607","Ipsos",2020-10-13,2020-10-14,2020-10-15,"Internet",920,"LV",51,41,"--","--"
"608","RMG Research",2020-10-15,2020-10-16,2020-10-17,"IVR/Internet",1265,"LV",51,43,"--","--"
"609","Siena College/The New York Times Upshot",2020-10-15,2020-10-16,2020-10-18,"Live Phone",987,"LV",50,41,"--","--"
"610","GBAO",2020-10-15,2020-10-17,2020-10-19,"Live Phone",1150,"RV",53,40,"--","--"
"611","Global Strategy Group/GBAO (Navigator Research)",2020-10-15,2020-10-17,2020-10-19,"Internet",1000,"RV",53,43,"--","--"
"612","IBD/TIPP",2020-10-15,2020-10-17,2020-10-19,"Internet",1046,"LV",49,46,"--","--"
"613","Léger",2020-10-16,2020-10-17,2020-10-18,"Internet",821,"LV",50,41,"--","--"
"614","Qriously",2020-10-15,2020-10-17,2020-10-19,"Internet",2731,"LV",51,39,"--","--"
"615","Rasmussen Reports/Pulse Opinion Research",2020-10-14,2020-10-17,2020-10-20,"IVR/Internet",2500,"LV",49,46,"--","--"
"616","Research Co.",2020-10-16,2020-10-17,2020-10-18,"Internet",1035,"LV",50,42,"--","--"
"617","YouGov",2020-10-16,2020-10-17,2020-10-18,"Internet",1465,"LV",51,40,"--","--"
"618","Change Research",2020-10-17,2020-10-17,2020-10-18,"Internet",2711,"LV",52,42,"--","--"
"619","Quinnipiac University",2020-10-16,2020-10-17,2020-10-19,"Live Phone",1426,"LV",51,41,"--","--"
"620","Redfield & Wilton Strategies",2020-10-17,2020-10-17,2020-10-18,"Internet",2915,"LV",51,40,"--","--"
"621","SurveyUSA",2020-10-16,2020-10-17,2020-10-19,"Internet",1136,"LV",53,43,"--","--"
"622","Echelon Insights",2020-10-16,2020-10-18,2020-10-20,"Internet",1006,"LV",51,44,"--","--"
"623","Ipsos",2020-10-16,2020-10-18,2020-10-20,"Internet",949,"LV",51,42,"--","--"
"624","YouGov",2020-10-18,2020-10-19,2020-10-20,"Internet",1344,"LV",52,43,"--","--"
"625","Cometrends",2020-10-13,2020-10-19,2020-10-26,"Internet",2500,"A",56,44,"--","--"
"626","Data for Progress",2020-10-20,2020-10-20,2020-10-20,"Internet",811,"LV",54,44,"--","--"
"627","Rethink Priorities",2020-10-20,2020-10-20,2020-10-20,"Internet",4933,"LV",51,42,"--","--"
"628","Ipsos",2020-10-20,2020-10-21,2020-10-22,"Internet",935,"LV",51,43,"--","--"
"629","YouGov",2020-10-16,2020-10-21,2020-10-26,"Internet",2500,"LV",52,41,"--","--"
"630","CNBC/Hart Research/Public Opinion Strategies",2020-10-21,2020-10-22,2020-10-24,"Live Phone",800,"RV",51,40,"--","--"
"631","Hofstra University",2020-10-19,2020-10-22,2020-10-26,"Internet",2000,"LV",54,43,"--","--"
"632","Change Research",2020-10-23,2020-10-23,2020-10-24,"Internet",1125,"LV",51,43,"--","--"
"633","RMG Research",2020-10-23,2020-10-23,2020-10-24,"IVR/Internet",1842,"LV",51,44,"--","--"
"634","YouGov",2020-10-20,2020-10-23,2020-10-27,"Internet",1500,"LV",53,44,"--","--"
"635","Léger",2020-10-23,2020-10-24,2020-10-25,"Internet",834,"LV",49,41,"--","--"
"636","Qriously",2020-10-22,2020-10-24,2020-10-26,"Internet",2234,"LV",49,39,"--","--"
"637","Rasmussen Reports/Pulse Opinion Research",2020-10-22,2020-10-24,2020-10-26,"IVR/Internet",1500,"LV",49,47,"--","--"
"638","YouGov",2020-10-23,2020-10-24,2020-10-25,"Internet",1350,"LV",54,42,"--","--"
"639","CNN/SSRS",2020-10-23,2020-10-24,2020-10-26,"Live Phone",886,"LV",54,42,"--","--"
"640","Swayable",2020-10-23,2020-10-24,2020-10-26,"Internet",11714,"RV",51,46,"--","--"
"641","Winston Group",2020-10-23,2020-10-24,2020-10-26,"IVR",1000,"RV",48,43,"--","--"
"642","Global Marketing Research Services",2020-10-23,2020-10-25,2020-10-27,"Live Phone",1006,"LV",53,39,"--","--"
"643","Ipsos",2020-10-23,2020-10-25,2020-10-27,"Internet",825,"LV",52,42,"--","--"
"644","Suffolk University",2020-10-23,2020-10-25,2020-10-27,"Live Phone",1000,"LV",52,44,"--","--"
"645","Tufts University",2020-10-25,2020-10-25,2020-10-25,"Internet",1215,"LV",52,45,"--","--"
"646","Angus Reid Global",2020-10-23,2020-10-25,2020-10-28,"Internet",2231,"LV",53,45,"--","--"
"647","Emerson College",2020-10-25,2020-10-25,2020-10-26,"IVR/Internet",1121,"LV",51,47,"--","--"
"648","Redfield & Wilton Strategies",2020-10-25,2020-10-25,2020-10-26,"Internet",4790,"LV",51,41,"--","--"
"649","Rasmussen Reports/Pulse Opinion Research",2020-10-25,2020-10-26,2020-10-27,"IVR/Internet",1500,"LV",47,48,"--","--"
"650","YouGov",2020-10-25,2020-10-26,2020-10-27,"Internet",1365,"LV",54,43,"--","--"
"651","HarrisX",2020-10-25,2020-10-26,2020-10-28,"Internet",2359,"LV",53,47,"--","--"
"652","AtlasIntel",2020-10-26,2020-10-27,2020-10-28,"Internet",1726,"LV",51,46,"--","--"
"653","J.L. Partners",2020-10-26,2020-10-27,2020-10-28,"Internet",844,"LV",55,41,"--","--"
"654","Rasmussen Reports/Pulse Opinion Research",2020-10-26,2020-10-27,2020-10-28,"IVR/Internet",1500,"LV",48,47,"--","--"
"655","Harris Poll",2020-10-27,2020-10-27,2020-10-28,"Internet",2093,"RV",54,46,"--","--"
"656","Opinium",2020-10-26,2020-10-27,2020-10-29,"Internet",1252,"LV",55,41,"--","--"
"657","Opinium",2020-10-26,2020-10-27,2020-10-29,"Internet",1451,"RV",53,41,"--","--"
"658","Swayable",2020-10-27,2020-10-27,2020-10-28,"Internet",2386,"LV",53,46,"--","--"
"659","Fox News",2020-10-27,2020-10-28,2020-10-29,"Live Phone",1246,"LV",52,44,"--","--"
"660","Fox News",2020-10-27,2020-10-28,2020-10-29,"Live Phone",1318,"RV",51,44,"--","--"
"661","Gravis Marketing",2020-10-27,2020-10-28,2020-10-29,"IVR/Internet",1281,"LV",50,44,"--","--"
"662","Rasmussen Reports/Pulse Opinion Research",2020-10-27,2020-10-28,2020-10-29,"IVR/Internet",1500,"LV",49,46,"--","--"
"663","Data for Progress",2020-10-28,2020-10-28,2020-10-29,"Internet",1403,"LV",54,44,"--","--"
"664","IBD/TIPP",2020-10-28,2020-10-30,2020-11-01,"Internet",1080,"LV",50,45,"--","--"
"665","Morning Consult",2020-10-29,2020-10-30,2020-10-31,"Internet",14663,"LV",52,44,"--","--"
"666","NBC News/The Wall Street Journal",2020-10-29,2020-10-30,2020-10-31,"Live Phone",1000,"RV",52,42,"--","--"
"667","Quinnipiac University",2020-10-28,2020-10-30,2020-11-01,"Live Phone",1516,"LV",50,39,"--","--"
"668","Rasmussen Reports/Pulse Opinion Research",2020-10-28,2020-10-30,2020-11-01,"IVR/Internet",1500,"LV",48,47,"--","--"
"669","RMG Research",2020-10-29,2020-10-30,2020-10-31,"IVR",1200,"LV",51,44,"--","--"
"670","RMG Research",2020-10-29,2020-10-30,2020-10-31,"IVR/Internet",1200,"LV",51,44,"--","--"
"671","SurveyUSA",2020-10-29,2020-10-30,2020-10-31,"Internet",1265,"LV",52,44,"--","--"
"672","Swayable",2020-10-29,2020-10-30,2020-10-31,"Internet",3115,"LV",52,46,"--","--"
"673","AYTM",2020-10-30,2020-10-30,2020-10-31,"Internet",700,"LV",48,39,"--","--"
"674","Change Research",2020-10-29,2020-10-30,2020-11-01,"Internet",1880,"LV",52,42,"--","--"
"675","Léger",2020-10-29,2020-10-30,2020-11-01,"Internet",827,"LV",50,42,"--","--"
"676","Qriously",2020-10-29,2020-10-30,2020-11-01,"Internet",3505,"LV",52,41,"--","--"
"677","Redfield & Wilton Strategies",2020-10-30,2020-10-31,2020-11-01,"Internet",8765,"LV",53,41,"--","--"
"678","SurveyMonkey",2020-10-30,2020-10-31,2020-11-01,"Internet",24930,"LV",52,47,"--","--"
"679","YouGov",2020-10-30,2020-10-31,2020-11-01,"Internet",1360,"LV",53,43,"--","--"
"680","Ipsos",2020-10-31,2020-11-01,2020-11-02,"Internet",914,"LV",52,45,"--","--"
"681","John Zogby Strategies/EMI Research Solutions",2020-11-01,2020-11-01,2020-11-01,"Internet",1008,"LV",48,42,"--","--"
"682","John Zogby Strategies/EMI Research Solutions",2020-11-01,2020-11-01,2020-11-01,"Internet",1008,"LV",52,45,"--","--"
"683","Research Co.",2020-10-31,2020-11-01,2020-11-02,"Internet",1025,"LV",50,42,"--","--"
"684","Swayable",2020-11-01,2020-11-01,2020-11-01,"Internet",5174,"LV",52,46,"--","--"
"685","YouGov",2020-10-31,2020-11-01,2020-11-02,"Internet",1363,"LV",53,43,"--","--"
"686","SurveyMonkey",2020-06-08,2020-06-19,2020-06-30,"Internet",161,"LV",46,52,"AK","Alaska"
"687","Alaska Survey Research",2020-06-23,2020-06-30,2020-07-07,"IVR/Internet",663,"LV",48,49,"AK","Alaska"
"688","Public Policy Polling",2020-07-07,2020-07-07,2020-07-08,"IVR",1081,"V",45,48,"AK","Alaska"
"689","SurveyMonkey",2020-07-01,2020-07-16,2020-07-31,"Internet",412,"LV",43,55,"AK","Alaska"
"690","Public Policy Polling",2020-07-23,2020-07-23,2020-07-24,"IVR",885,"V",44,50,"AK","Alaska"
"691","SurveyMonkey",2020-08-01,2020-08-16,2020-08-31,"Internet",472,"LV",42,57,"AK","Alaska"
"692","SurveyMonkey",2020-09-01,2020-09-15,2020-09-30,"Internet",563,"LV",45,53,"AK","Alaska"
"693","Harstad Strategic Research Inc.",2020-09-20,2020-09-21,2020-09-23,"Live Phone",602,"LV",46,47,"AK","Alaska"
"694","SurveyMonkey",2020-09-15,2020-09-28,2020-10-12,"Internet",751,"LV",43,55,"AK","Alaska"
"695","Alaska Survey Research",2020-09-25,2020-09-29,2020-10-04,"Live Phone",676,"LV",46,50,"AK","Alaska"
"696","Patinkin Research Strategies",2020-09-30,2020-10-02,2020-10-04,"Live Phone",600,"LV",46,49,"AK","Alaska"
"697","Siena College/The New York Times Upshot",2020-10-09,2020-10-11,2020-10-14,"Live Phone",423,"LV",39,45,"AK","Alaska"
"698","University of Arkansas",2020-10-09,2020-10-15,2020-10-21,"Live Phone",591,"LV",32,65,"AK","Alaska"
"699","Public Policy Polling",2020-10-19,2020-10-19,2020-10-20,"IVR",800,"V",45,50,"AK","Alaska"
"700","SurveyMonkey",2020-10-20,2020-10-26,2020-11-01,"Internet",537,"LV",46,53,"AK","Alaska"
"701","Gravis Marketing",2020-10-26,2020-10-27,2020-10-28,"IVR/Internet",770,"LV",43,52,"AK","Alaska"
"702","WPA Intelligence",2020-01-07,2020-01-08,2020-01-09,"Live Phone",500,"LV",38,59,"AL","Alabama"
"703","Mason-Dixon Polling & Strategy",2020-02-04,2020-02-05,2020-02-06,"Live Phone",625,"RV",38,58,"AL","Alabama"
"704","FM3 Research",2020-05-14,2020-05-16,2020-05-18,"Live Phone",601,"LV",39,53,"AL","Alabama"
"705","SurveyMonkey",2020-06-08,2020-06-19,2020-06-30,"Internet",649,"LV",35,63,"AL","Alabama"
"706","Auburn University-Montgomery",2020-07-02,2020-07-05,2020-07-09,"Internet",567,"RV",41,55,"AL","Alabama"
"707","SurveyMonkey",2020-07-01,2020-07-16,2020-07-31,"Internet",1583,"LV",35,63,"AL","Alabama"
"708","Morning Consult",2020-07-24,2020-07-28,2020-08-02,"Internet",609,"LV",36,58,"AL","Alabama"
"709","SurveyMonkey",2020-08-01,2020-08-16,2020-08-31,"Internet",1220,"LV",33,65,"AL","Alabama"
"710","The Tyson Group",2020-08-17,2020-08-18,2020-08-19,"Live Phone",600,"LV",44,48,"AL","Alabama"
"711","SurveyMonkey",2020-09-01,2020-09-15,2020-09-30,"Internet",1354,"LV",39,59,"AL","Alabama"
"712","SurveyMonkey",2020-09-15,2020-09-28,2020-10-12,"Internet",2070,"LV",39,59,"AL","Alabama"
"713","Auburn University-Montgomery",2020-09-30,2020-10-01,2020-10-03,"Internet",1072,"RV",37,57,"AL","Alabama"
"714","Moore Information",2020-10-11,2020-10-12,2020-10-14,"Live Phone",504,"LV",38,55,"AL","Alabama"
"715","Swayable",2020-10-23,2020-10-24,2020-10-26,"Internet",266,"RV",37,56,"AL","Alabama"
"716","Auburn University-Montgomery",2020-10-23,2020-10-25,2020-10-28,"Internet",853,"LV",39,58,"AL","Alabama"
"717","SurveyMonkey",2020-10-20,2020-10-26,2020-11-01,"Internet",1608,"LV",36,62,"AL","Alabama"
"718","Data for Progress",2020-10-27,2020-10-29,2020-11-01,"Internet",1045,"LV",38,58,"AL","Alabama"
"719","Swayable",2020-10-27,2020-10-29,2020-11-01,"Internet",330,"LV",38,55,"AL","Alabama"
"720","Hendrix College",2020-06-09,2020-06-09,2020-06-10,"Internet",869,"LV",45,47,"AR","Arkansas"
"721","SurveyMonkey",2020-06-08,2020-06-19,2020-06-30,"Internet",354,"LV",38,59,"AR","Arkansas"
"722","SurveyMonkey",2020-07-01,2020-07-16,2020-07-31,"Internet",747,"LV",32,66,"AR","Arkansas"
